08:48:20.791 -> Enter current location (##): 7
08:48:22.366 -> Enter current direction: WEST
08:48:23.875 -> Enter a destination: 2
08:48:26.442 -> 1 North -> NA
08:48:26.442 -> 2 South -> NA
08:48:26.442 -> 1 North -> NA
08:48:26.442 -> Before Copy: 7 West -> 0 Other -> NA
08:48:26.442 -> Copy: 0 North -> 1 North -> NA
08:48:26.442 -> Result: 7 West -> 0 North -> 1 North -> NA
08:48:26.442 -> 2 South -> NA
08:48:26.442 -> Before Copy: 7 West -> 0 Other -> NA
08:48:26.442 -> Copy: 0 South -> 2 South -> NA
08:48:26.442 -> Result: 7 West -> 0 South -> 2 South -> NA
08:48:26.442 -> MOVING West Turning West
08:48:26.442 -> Setting turn
08:48:26.442 -> Setting speed
08:48:26.442 -> Set Speeed
08:48:51.438 -> Front: 1927   |   RIGHT OFFSET: 3
08:48:51.736 -> Front: 2041   |   RIGHT OFFSET: 3
08:48:52.010 -> Front: 2179   |   RIGHT OFFSET: 3
08:48:52.258 -> Front: 2360   |   RIGHT OFFSET: 2
08:48:52.546 -> Front: 2569   |   RIGHT OFFSET: 1
08:48:52.840 -> Front: 2713   |   RIGHT OFFSET: 0
08:48:53.102 -> Front: 2821   |   RIGHT OFFSET: -2
08:48:53.373 -> Front: 3069   |   RIGHT OFFSET: -4
08:48:53.668 -> Front: 3174   |   RIGHT OFFSET: -8
08:48:53.969 -> Front: 3210   |   RIGHT OFFSET: -12
08:48:54.240 -> Front: 3251   |   RIGHT OFFSET: -16
08:48:54.510 -> Front: 3247   |   RIGHT OFFSET: -16
08:48:54.801 -> Front: 3123   |   RIGHT OFFSET: -16
08:48:55.057 -> Front: 2922   |   RIGHT OFFSET: -16
08:48:55.334 -> Front: 2589   |   RIGHT OFFSET: -10
08:48:55.618 -> Front: 2303   |   RIGHT OFFSET: -7
08:48:55.901 -> Front: 1982   |   RIGHT OFFSET: -5
08:48:56.182 -> Front: 1387   |   RIGHT OFFSET: -1
08:48:56.485 -> Front: 1231   |   RIGHT OFFSET: 30
08:48:56.759 -> Front: 1179   |   RIGHT OFFSET: 30
08:48:57.017 -> Front: 1322   |   RIGHT OFFSET: 9
08:48:57.335 -> Front: 1521   |   RIGHT OFFSET: 9
08:48:57.575 -> Front: 1775   |   RIGHT OFFSET: -2
08:48:57.857 -> Front: 2046   |   RIGHT OFFSET: 0
08:48:58.170 -> Front: 2119   |   RIGHT OFFSET: 0
08:48:58.414 -> Front: 2315   |   RIGHT OFFSET: -1
08:48:58.720 -> Front: 2654   |   RIGHT OFFSET: -4
08:48:58.985 -> Front: 2816   |   RIGHT OFFSET: -6
08:48:59.250 -> Front: 2856   |   RIGHT OFFSET: -8
08:48:59.569 -> Front: 2849   |   RIGHT OFFSET: -8
08:48:59.824 -> Front: 2788   |   RIGHT OFFSET: -8
08:49:00.100 -> Front: 2764   |   RIGHT OFFSET: -8
08:49:00.384 -> Front: 2762   |   RIGHT OFFSET: -8
08:49:00.673 -> Front: 2772   |   RIGHT OFFSET: -10
08:49:00.964 -> Front: 2801   |   RIGHT OFFSET: -30
08:49:01.225 -> Front: 2798   |   RIGHT OFFSET: -30
08:49:01.507 -> Front: 2633   |   RIGHT OFFSET: -10
08:49:01.786 -> Front: 2385   |   RIGHT OFFSET: -30
08:49:02.088 -> Front: 2159   |   RIGHT OFFSET: -30
08:49:02.332 -> Front: 1934   |   RIGHT OFFSET: -9
08:49:02.663 -> Front: 1664   |   RIGHT OFFSET: -5
08:49:02.912 -> Front: 1303   |   RIGHT OFFSET: -1
08:49:03.178 -> Front: 1206   |   RIGHT OFFSET: 30
08:49:03.498 -> Front: 1109   |   RIGHT OFFSET: 30
08:49:03.763 -> Front: 1189   |   RIGHT OFFSET: 30
08:49:04.033 -> Front: 1289   |   RIGHT OFFSET: 9
08:49:04.320 -> Front: 1482   |   RIGHT OFFSET: 9
08:49:04.589 -> Front: 1769   |   RIGHT OFFSET: -2
08:49:04.867 -> Front: 1983   |   RIGHT OFFSET: -2
08:49:05.143 -> Front: 2159   |   RIGHT OFFSET: -2
08:49:05.425 -> Front: 2233   |   RIGHT OFFSET: -2
08:49:05.695 -> Front: 2354   |   RIGHT OFFSET: -3
08:49:05.983 -> Front: 2482   |   RIGHT OFFSET: -4
08:49:06.253 -> Front: 2653   |   RIGHT OFFSET: -5
08:49:06.536 -> Front: 2657   |   RIGHT OFFSET: -6
08:49:06.868 -> Front: 2698   |   RIGHT OFFSET: -7
08:49:07.104 -> Front: 2737   |   RIGHT OFFSET: -8
08:49:07.391 -> Front: 2669   |   RIGHT OFFSET: -7
08:49:07.695 -> Front: 2667   |   RIGHT OFFSET: -6
08:49:07.957 -> Front: 2687   |   RIGHT OFFSET: -30
